Field=#~Integer~#~50|Field=Designator~String~Designator~100|Field=MountType~String~MountType~100|Field=PackageReference~String~PackageReference~100|Field=Center-X(Mil)~String~Center-X(Mil)~100|Field=Center-X(mm)~String~Center-X(mm)~100|Field=Center-Y(Mil)~String~Center-Y(Mil)~100|Field=Center-Y(mm)~String~Center-Y(mm)~100|Field=Layer~String~Layer~100|Field=Pad-X(Mil)~String~Pad-X(Mil)~100|Field=Pad-X(mm)~String~Pad-X(mm)~100|Field=Pad-Y(Mil)~String~Pad-Y(Mil)~100|Field=Pad-Y(mm)~String~Pad-Y(mm)~100|Field=Ref-X(Mil)~String~Ref-X(Mil)~100|Field=Ref-X(mm)~String~Ref-X(mm)~100|Field=Ref-Y(Mil)~String~Ref-Y(Mil)~100|Field=Ref-Y(mm)~String~Ref-Y(mm)~100|Field=Rotation~String~Rotation~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~MD029A.PrjPcb|ReportField=ProjectFullPath~C:\Users\a0220758\Documents\BLDC\Board Files\MD029A\MD029A.PrjPcb|ReportField=Title~Pick and Place For Variant [001] of Project [MD029A.PrjPcb] (PCB Document : MD029A.PcbDoc)|ReportField=ReportTime~4:00:24 PM|ReportField=ReportDate~10/26/2020|ReportField=ReportDateTime~10/26/2020 4:00:24 PM|ReportField=OutputName~Pick and Place|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~001|ReportField=TotalQuantity~160|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=EVM_Orderable~ChangeMe in variant|ReportField=CopyrightYear~2018|ReportField=PCB_Layout~Adam Sidelsky|ReportField=PCB_Rev~A|ReportField=PRJ_Customer~Public Release|ReportField=PRJ_Engineer~Adam Sidelsky|ReportField=PRJ_Number~MD029|ReportField=PRJ_Title~DRV8300DIPW-EVM|ReportField=SCH_Rev~A|ReportField=TechSupport~http://www.ti.com/support|ReportField=TID~N/A|ReportField=Address1~Not shown in title block|ReportField=Address2~Not shown in title block|ReportField=Address3~Not shown in title block|ReportField=Address4~Not shown in title block|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~Not shown in title block|ReportField=Author~Not shown in title block|ReportField=CheckedBy~Not shown in title block|ReportField=CompanyName~Not shown in title block|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~10/26/2020|ReportField=CurrentTime~3:47:47 PM|ReportField=Date~Not shown in title block|ReportField=DocumentFullPathAndName~C:\Users\a0220758\Documents\BLDC\Board Files\MD029A\MD029A_CSA.SchDoc|ReportField=DocumentName~MD029A_CSA.SchDoc|ReportField=DocumentNumber~3|ReportField=DrawnBy~|ReportField=Engineer~Not shown in title block|ReportField=ImagePath~Not shown in title block|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~3/24/2020|ReportField=Organization~Not shown in title block|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=1.00:XCorrection=1.00:YCorrection=1.00:PrintKind=0:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=15:PrintQuality=600:MediaType=1:DitherType=10:PaperKind=Letter:PrintScaleMode=1|ReportField=ProjectName~MD029A.PrjPcb|ReportField=Revision~Use project parameter SCH_Rev|ReportField=Rule~|ReportField=SheetNumber~3|ReportField=SheetTotal~5|ReportField=Time~Not shown in title block|ReportField=Title~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~MD029A.PrjPcb|ReportField=DataSourceFullPath~C:\Users\a0220758\Documents\BLDC\Board Files\MD029A\MD029A.PrjPcb|ReportField=PCBDataSourceFileName~MD029A.PcbDoc|ReportField=PCBDataSourceFullPath~C:\Users\a0220758\Documents\BLDC\Board Files\MD029A\MD029A.PcbDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
33|C43|SMT|0603|1194.788|30.34762|1045|26.543|Top|1194.788|30.34762|1017.441|25.843|1194.788|30.34762|1045|26.543|90
34|C44|SMT|0603|1084.118|27.5366|909.449|23.10001|Top|1084.118|27.5366|881.89|22.40001|1084.118|27.5366|909.449|23.10001|90
35|C45|SMT|0603|1087.962|27.63424|805.472|20.459|Top|1087.962|27.63424|777.913|19.759|1087.962|27.63424|805.472|20.459|90
36|C46|SMT|0603|1114.99|28.32074|1125.748|28.594|Bottom|1142.549|29.02074|1125.748|28.594|1114.99|28.32074|1125.748|28.594|180
37|C47|SMT|0603|1059.99|26.92374|1275.552|32.39901|Bottom|1087.549|27.62374|1275.552|32.39901|1059.99|26.92374|1275.552|32.39901|180
38|C48|SMT|0603|1111.333|28.22787|269.449|6.84401|Bottom|1138.893|28.92787|269.449|6.84401|1111.333|28.22787|269.449|6.84401|180
39|C49|SMT|0603|1190.372|30.23545|183.622|4.664|Bottom|1190.372|30.23545|211.181|5.364|1190.372|30.23545|183.622|4.664|270
40|C53|SMT|0603|1058.987|26.89827|419.449|10.65401|Bottom|1086.546|27.59827|419.449|10.65401|1058.987|26.89827|419.449|10.65401|180
41|C54|SMT|0603|1005.034|25.52787|269.449|6.84401|Bottom|1032.593|26.22787|269.449|6.84401|1005.034|25.52787|269.449|6.84401|180
42|C55|SMT|0402|1283.066|32.58988|1303.657|33.1129|Bottom|1283.066|32.58988|1323.342|33.6129|1283.066|32.58988|1303.658|33.1129|270
43|D10|SMT|SMA|1613.504|40.983|1420|36.068|Top|1534.764|38.983|1420|36.068|1613.504|40.983|1420|36.068|0
44|D11|SMT|SMA|2082.905|52.9058|1415|35.941|Top|2004.165|50.9058|1415|35.941|2082.905|52.9058|1415|35.941|0
45|D14|SMT|SMA|1800.315|45.728|920.392|23.37795|Top|1879.055|47.728|920.392|23.37795|1800.315|45.728|920.392|23.37795|180
46|D15|SMT|SMA|2286.16|58.06847|911.085|23.14157|Top|2364.901|60.06847|911.085|23.14157|2286.16|58.06847|911.085|23.14157|180
47|D17|SMT|SMA|2545|64.643|1420|36.068|Top|2466.26|62.643|1420|36.068|2545|64.643|1420|36.068|0
48|D19|SMT|SMA|2765|70.231|905|22.987|Top|2843.74|72.231|905|22.987|2765|70.231|905|22.987|180
49|F1|SMT|10.1x3.12mm|840|21.336|1480|37.592|Top|655.945|16.661|1480|37.592|840|21.336|1480|37.592|0
50|FAULT|SMT|Red 0805 LED|130.756|3.3212|170.236|4.324|Top|130.756|3.3212|211.575|5.374|130.756|3.3212|170.236|4.324|270
51|GHA|TH|White Miniature Testpoint|1534.764|38.983|1550|39.37|Top|1534.764|38.983|1550|39.37|1534.764|38.983|1550|39.37|90
52|GHB|TH|White Miniature Testpoint|2004.165|50.9058|1550|39.37|Top|2004.165|50.9058|1550|39.37|2004.165|50.9058|1550|39.37|90
53|GHC|TH|White Miniature Testpoint|2465|62.611|1550|39.37|Top|2465|62.611|1550|39.37|2465|62.611|1550|39.37|90
54|GLA|TH|White Miniature Testpoint|1970|50.038|802.143|20.37444|Top|1970|50.038|802.143|20.37444|1970|50.038|802.143|20.37444|90
55|GLB|TH|White Miniature Testpoint|2452.413|62.29129|816.501|20.73913|Top|2452.413|62.29129|816.501|20.73913|2452.413|62.29129|816.501|20.73913|90
56|GLC|TH|White Miniature Testpoint|2855|72.517|665|16.891|Top|2855|72.517|665|16.891|2855|72.517|665|16.891|90
57|GND|TH|Shorting Plug, 10.16mm spacing, TH|270|6.858|1470|37.338|Top|470|11.938|1470|37.338|270|6.858|1470|37.338|180
58|GVDD|SMT|0805 LED|760|19.304|166.339|4.225|Top|760|19.304|207.677|5.275|760|19.304|166.339|4.225|270
59|GVDD_EXT|TH|Red Miniature Testpoint|888.785|22.57513|324.228|8.23539|Top|888.785|22.57513|324.228|8.23539|888.785|22.57513|324.228|8.23539|180
60|GVDD_TP|TH|Red Miniature Testpoint|1626|41.3004|147.642|3.75011|Top|1626|41.3004|147.642|3.75011|1626|41.3004|147.642|3.75011|90
61|HALL_EXT|TH|Red Miniature Testpoint|3325|84.455|330|8.382|Top|3325|84.455|330|8.382|3325|84.455|330|8.382|180
62|J1|TH|Receptacle, 2.54mm, 10x2, TH|1320|33.528|750|19.05|Bottom|1270|32.258|1200|30.48|1320|33.528|750|19.05|270
